Author,Year,Quarter,Num Commits,Lines Added,Lines Deleted,Files Added,Files Deleted,Files Modified,First Commit Date UTC,Last Commit Date UTC
8,2021,3,25,4909,2404,37,11,156,07/07/2021 00:58:13,09/30/2021 23:32:34
8,2021,4,22,1917,1417,7,0,120,10/01/2021 18:48:22,12/03/2021 22:51:13
8,2022,1,24,53773,3364,335,17,305,01/11/2022 00:42:40,03/31/2022 20:49:07
8,2022,2,17,5743,17449,12,14,129,04/07/2022 00:36:34,06/29/2022 22:02:24
8,2022,3,21,6908,1250,9,13,81,07/08/2022 01:01:46,09/29/2022 22:43:49
8,2022,4,39,62123,94749,42,82,1041,10/03/2022 21:00:45,12/07/2022 15:51:04
8,2023,1,31,2456,1468,12,4,122,01/03/2023 18:54:59,03/10/2023 00:50:46
9,2019,2,3,349,231,1,0,28,05/15/2019 16:40:19,05/20/2019 23:03:09
10,2019,2,43,49634,6971,327,64,280,05/17/2019 00:37:25,06/26/2019 23:40:36
10,2019,3,62,13471,5886,102,13,719,07/02/2019 14:38:09,09/27/2019 16:41:38
10,2019,4,81,14974,5038,62,9,315,10/01/2019 17:58:36,12/18/2019 15:18:59
10,2020,1,143,9070,209926,61,828,397,01/06/2020 13:08:43,03/31/2020 23:18:12
10,2020,2,242,8503,5794,52,19,1192,04/01/2020 09:57:24,06/30/2020 22:47:00
10,2020,3,89,9765,1003,43,1,197,07/01/2020 17:16:49,09/30/2020 16:31:33
10,2020,4,33,317,663,1,0,67,10/14/2020 19:31:26,12/04/2020 19:54:07
10,2021,1,111,23532,12705,70,19,496,01/06/2021 11:23:22,03/31/2021 09:08:51
10,2021,2,98,8183,7249,20,20,364,04/01/2021 02:50:16,06/21/2021 17:21:58
10,2021,3,116,7684,5250,63,22,756,07/07/2021 17:53:45,09/30/2021 22:06:00
10,2021,4,81,55823,24242,107,13,427,10/01/2021 18:02:18,12/15/2021 15:48:10
10,2022,1,53,71639,103635,22,67,241,01/11/2022 13:07:02,03/31/2022 20:37:47
10,2022,2,40,5694,2866,24,14,152,04/07/2022 13:02:59,06/29/2022 00:50:52
10,2022,3,33,5821,3026,11,6,279,07/08/2022 15:15:41,09/28/2022 19:51:01
10,2022,4,101,22749,8334,15,5,369,10/03/2022 10:14:57,12/27/2022 20:28:55
10,2023,1,34,16183,4861,30,11,401,01/04/2023 16:41:29,03/22/2023 12:58:45
10,2023,2,89,5209,3047,27,6,352,04/12/2023 20:10:05,06/21/2023 11:13:27
10,2023,3,59,12239,3661,16,1,162,07/05/2023 11:47:23,09/28/2023 16:07:30
10,2023,4,99,9462,9832,31,8,335,10/03/2023 22:27:19,12/18/2023 16:51:10
10,2024,1,30,2261,1097,2,1,79,01/03/2024 13:39:47,03/21/2024 20:51:27
10,2024,2,1,283,1,1,0,2,04/23/2024 22:39:37,04/23/2024 22:39:37
11,2019,2,1,1,1,0,0,1,05/17/2019 16:04:07,05/17/2019 16:04:07
12,2019,2,9,1021,556,3,1,121,05/21/2019 22:08:11,06/12/2019 17:06:30
12,2019,3,13,1502,325,24,2,88,07/02/2019 16:43:05,09/10/2019 21:38:18
13,2019,2,28,711,499,9,10,75,05/23/2019 00:36:52,06/19/2019 22:52:04
13,2019,3,14,1881,624,27,2,170,07/09/2019 23:28:01,09/17/2019 22:58:01
14,2019,2,2,1335,542,11,0,49,05/29/2019 23:18:41,06/18/2019 19:34:04
14,2019,4,2,371,246,0,0,4,11/13/2019 22:42:52,12/12/2019 02:01:50
14,2020,1,32,1873,1271,16,1,131,01/15/2020 21:52:21,03/19/2020 22:57:26
14,2020,2,5,81,30,0,0,8,04/01/2020 08:58:55,06/26/2020 19:04:29
14,2020,3,62,3180,1897,12,8,155,08/04/2020 16:17:05,09/30/2020 14:35:18
14,2020,4,29,735,310,5,0,56,10/01/2020 16:01:21,10/13/2020 22:19:06
14,2021,1,8,125,61,1,0,9,01/11/2021 11:47:24,02/08/2021 10:53:10
14,2021,2,5,2988,2470,6,3,27,04/26/2021 23:56:55,05/28/2021 02:11:39
14,2021,3,15,3339,2053,11,1,103,07/01/2021 19:04:39,08/10/2021 15:35:22
14,2022,1,1,3,24,0,1,2,03/17/2022 00:54:59,03/17/2022 00:54:59
14,2022,2,1,1,1,0,0,1,06/22/2022 14:54:35,06/22/2022 14:54:35
14,2023,1,47,2803,2316,3,7,86,01/10/2023 17:45:19,03/23/2023 01:27:03
14,2023,2,11,251,65,0,1,17,04/05/2023 13:04:24,06/06/2023 16:10:11
14,2023,4,2,2,2,0,0,2,10/04/2023 18:39:44,11/08/2023 19:10:35
14,2024,1,1,1,1,0,0,1,01/05/2024 11:07:11,01/05/2024 11:07:11
15,2019,4,4,1397,859,3,3,10,10/07/2019 17:57:46,12/12/2019 23:27:21
15,2020,1,6,1118,1457,2,1,26,01/07/2020 05:38:14,03/31/2020 08:23:00
15,2020,2,8,715,212,2,0,27,04/01/2020 23:35:48,06/10/2020 01:23:28
15,2020,3,4,25,19,0,0,7,07/22/2020 03:43:30,09/19/2020 20:46:56
15,2020,4,4,601,24,20,0,8,10/02/2020 01:52:32,11/08/2020 19:04:50
15,2021,1,8,275,199,1,0,24,01/02/2021 23:27:51,02/03/2021 02:36:47
15,2021,2,21,1015,360,5,0,73,04/13/2021 04:00:44,06/15/2021 23:18:10
15,2021,3,9,501,318,0,0,18,07/27/2021 19:01:16,08/04/2021 22:44:03
16,2019,4,3,1488,2155,3,10,73,11/04/2019 22:09:18,12/10/2019 23:00:30
16,2020,1,13,199,656,1,6,38,01/22/2020 23:25:07,02/22/2020 21:01:02
16,2020,2,2,62,17,0,0,10,04/02/2020 18:43:42,05/29/2020 17:37:14
16,2020,3,1,15,3,0,0,3,07/17/2020 18:52:15,07/17/2020 18:52:15
16,2020,4,3,3439,2268,12,9,70,10/12/2020 20:35:23,11/25/2020 19:57:54
16,2021,1,3,453,120,3,0,42,01/11/2021 13:39:22,03/25/2021 01:11:35
16,2021,2,3,300,1063,0,7,32,04/13/2021 01:50:40,06/21/2021 20:37:26
16,2021,3,1,453,66,2,0,11,07/30/2021 21:28:57,07/30/2021 21:28:57
16,2021,4,2,323,574,0,7,28,10/01/2021 19:40:36,11/02/2021 23:12:05
16,2022,1,5,839,1414,12,4,49,01/11/2022 00:40:40,02/21/2022 13:52:07
16,2022,2,1,248,118,0,0,15,06/22/2022 23:49:13,06/22/2022 23:49:13
16,2022,4,1,914,585,3,2,98,11/16/2022 00:09:03,11/16/2022 00:09:03
16,2023,1,2,10,10,0,0,4,02/27/2023 22:18:33,03/16/2023 16:02:08
16,2023,2,2,27,13,1,0,6,04/12/2023 19:10:27,04/24/2023 15:44:54
16,2023,3,2,8,8,0,0,4,07/31/2023 19:34:36,08/09/2023 23:16:17
16,2023,4,3,13,13,0,0,6,10/02/2023 16:50:58,11/21/2023 01:55:50
16,2024,1,6,1840,73,24,0,31,01/11/2024 18:54:11,03/27/2024 16:20:52
16,2024,2,1,3,3,0,0,2,04/29/2024 22:01:43,04/29/2024 22:01:43
17,2019,4,1,2,0,0,0,1,11/07/2019 18:43:14,11/07/2019 18:43:14
17,2021,4,2,28,156,0,0,2,12/15/2021 23:40:16,12/15/2021 23:43:27
18,2019,4,1,1,1,0,0,1,11/08/2019 00:13:40,11/08/2019 00:13:40
18,2021,2,1,12,3,0,0,2,06/08/2021 17:21:57,06/08/2021 17:21:57
19,2019,4,1,145,0,1,0,0,12/02/2019 18:54:26,12/02/2019 18:54:26
20,2020,1,36,2075,366,9,1,81,01/12/2020 16:35:17,03/19/2020 19:22:52
20,2020,2,1,478,2,1,0,1,04/06/2020 18:12:44,04/06/2020 18:12:44
20,2020,3,3,161,37,0,0,4,09/18/2020 23:19:16,09/19/2020 22:51:15
21,2020,1,35,3397,1004,19,5,81,01/31/2020 23:07:31,03/19/2020 18:55:37
21,2020,2,18,328,199,2,0,31,04/13/2020 22:43:21,06/19/2020 05:29:27
21,2020,3,4,141,8,1,0,5,07/09/2020 19:14:59,07/20/2020 21:10:26
22,2020,1,1,208,0,2,0,0,02/04/2020 20:54:23,02/04/2020 20:54:23
23,2020,1,33,489,433,0,3,99,02/05/2020 13:35:41,03/31/2020 12:18:45
23,2020,2,8,2375,2248,10,3,98,04/24/2020 12:18:34,06/27/2020 12:08:27
23,2020,3,4,75,24,0,0,13,08/06/2020 12:18:11,09/21/2020 12:11:36
23,2020,4,4,159,79,0,0,19,12/07/2020 13:14:07,12/28/2020 13:14:08
23,2021,1,7,186,184,0,1,41,01/04/2021 13:12:52,03/29/2021 12:04:12
23,2022,1,3,9,9,0,0,6,02/28/2022 13:05:13,03/14/2022 12:05:57
23,2023,2,4,25,19,0,0,10,05/22/2023 13:03:40,06/19/2023 13:01:05
23,2023,3,1,5,5,0,0,2,07/12/2023 18:49:30,07/12/2023 18:49:30
23,2023,4,2,8,8,0,0,4,10/12/2023 15:16:06,10/23/2023 12:31:06
23,2024,1,2,27,19,0,0,7,01/29/2024 14:28:28,03/11/2024 13:25:51
23,2024,2,1,18,17,0,0,12,04/08/2024 13:39:37,04/08/2024 13:39:37
24,2020,1,2,2,1,0,0,2,03/24/2020 20:37:25,03/24/2020 20:56:06
24,2022,1,1,2,1,0,0,1,02/01/2022 21:36:19,02/01/2022 21:36:19
25,2020,2,2,8,8,0,0,2,04/09/2020 02:42:16,04/09/2020 02:43:47
25,2020,3,1,2,4,0,0,2,09/16/2020 06:04:03,09/16/2020 06:04:03
26,2020,2,1,1,1,0,0,1,06/02/2020 17:12:42,06/02/2020 17:12:42
27,2020,2,1,4,4,0,0,1,06/16/2020 23:39:00,06/16/2020 23:39:00
28,2020,2,4,4,8,0,0,4,06/26/2020 14:13:43,06/26/2020 14:23:55
29,2020,2,1,2,22,0,0,2,06/30/2020 00:39:36,06/30/2020 00:39:36
30,2020,3,1,6,6,0,0,1,07/01/2020 02:45:41,07/01/2020 02:45:41
31,2020,3,1,3,3,0,0,1,07/10/2020 18:53:12,07/10/2020 18:53:12
32,2020,3,12,1076,887,1,2,90,07/14/2020 15:40:55,08/10/2020 19:39:16
33,2020,3,1,385,0,11,0,0,07/29/2020 04:56:24,07/29/2020 04:56:24
34,2020,3,1,1,1,0,0,1,08/01/2020 17:22:17,08/01/2020 17:22:17
35,2020,3,2,2,2,0,0,2,08/03/2020 04:35:29,08/03/2020 04:36:21
36,2020,3,2,2261,996,2,0,77,08/14/2020 17:36:48,08/19/2020 22:54:30
37,2020,3,1,15,0,0,0,1,08/18/2020 20:38:44,08/18/2020 20:38:44
38,2020,3,1,1,1,0,0,1,09/02/2020 06:35:31,09/02/2020 06:35:31
39,2020,3,1,4,4,0,0,2,09/11/2020 18:32:51,09/11/2020 18:32:51
39,2021,1,1,6,6,0,0,1,03/30/2021 01:58:33,03/30/2021 01:58:33
39,2021,2,2,6,6,0,0,2,06/02/2021 20:47:52,06/09/2021 18:32:41
39,2021,3,2,6,6,0,0,2,08/12/2021 20:48:04,08/12/2021 21:30:52
39,2022,1,1,6,6,0,0,1,02/28/2022 04:24:47,02/28/2022 04:24:47
39,2022,4,3,97,41,0,0,5,11/24/2022 20:50:12,12/11/2022 20:28:12
39,2023,1,2,21,18,0,0,2,01/04/2023 19:29:25,02/09/2023 17:01:37
39,2023,3,2,72,20,0,0,2,07/09/2023 20:52:21,07/10/2023 01:50:08
39,2024,1,1,1,1,0,0,1,01/16/2024 20:00:22,01/16/2024 20:00:22
40,2020,3,1,1,1,0,0,1,09/16/2020 09:37:03,09/16/2020 09:37:03
41,2020,3,1,5158,5,13,0,6,09/16/2020 20:54:58,09/16/2020 20:54:58
42,2020,3,1,19,10,0,0,4,09/17/2020 07:53:35,09/17/2020 07:53:35
43,2020,3,1,1597,0,20,0,1,09/19/2020 14:30:19,09/19/2020 14:30:19
43,2023,2,1,2,2,0,0,1,04/12/2023 10:53:22,04/12/2023 10:53:22
44,2020,4,1,2,2,0,0,1,10/13/2020 19:45:34,10/13/2020 19:45:34
45,2020,4,1,2,2,0,0,1,10/22/2020 04:32:58,10/22/2020 04:32:58
45,2023,1,1,0,5,0,0,1,02/28/2023 17:51:31,02/28/2023 17:51:31
46,2020,4,1,15435,9,1,0,3,11/17/2020 19:41:36,11/17/2020 19:41:36
47,2020,4,1,1,1,0,0,1,11/19/2020 06:09:13,11/19/2020 06:09:13
48,2020,4,1,1,1,0,0,1,12/09/2020 18:04:39,12/09/2020 18:04:39
49,2020,4,1,2,2,0,0,1,12/23/2020 23:18:03,12/23/2020 23:18:03
50,2020,4,1,16,16,0,0,3,12/30/2020 19:34:04,12/30/2020 19:34:04
51,2021,1,1,237,93,0,6,9,01/14/2021 20:55:40,01/14/2021 20:55:40
52,2021,1,1,884,8,10,0,11,01/14/2021 21:25:33,01/14/2021 21:25:33
52,2022,1,1,338,3,4,0,3,03/23/2022 23:24:11,03/23/2022 23:24:11
53,2021,1,11,1624,321,10,1,49,01/08/2021 16:00:06,02/02/2021 16:59:07
54,2021,1,4,267,33,3,0,11,02/08/2021 16:29:48,02/27/2021 20:44:47
54,2022,2,2,10,3,0,0,5,04/19/2022 18:18:29,05/10/2022 00:05:31
54,2022,3,8,6661,217,1,1,26,08/08/2022 20:58:29,09/29/2022 21:20:12
54,2023,1,6,121,42,0,0,14,01/10/2023 23:07:27,02/09/2023 01:39:36
54,2023,4,1,2,2,0,0,2,11/13/2023 23:33:11,11/13/2023 23:33:11
54,2024,2,1,2,2,0,0,2,04/03/2024 18:39:00,04/03/2024 18:39:00
55,2021,1,2,13,9,0,0,4,02/18/2021 00:08:28,02/24/2021 01:18:23
56,2021,1,1,1,1,0,0,1,02/19/2021 22:43:30,02/19/2021 22:43:30
57,2021,1,1,2,2,0,0,1,03/30/2021 14:24:40,03/30/2021 14:24:40
58,2021,2,1,95,0,3,0,0,04/08/2021 01:24:37,04/08/2021 01:24:37
59,2021,2,21,483,398,2,0,139,04/09/2021 05:56:32,04/20/2021 17:40:10
59,2022,1,1,1,1,0,0,1,01/31/2022 20:11:55,01/31/2022 20:11:55
59,2022,4,1,1,1,0,0,1,11/28/2022 22:38:35,11/28/2022 22:38:35
60,2021,2,1,125,45,2,0,6,04/23/2021 14:34:35,04/23/2021 14:34:35
61,2021,2,1,2,2,0,0,1,05/27/2021 22:39:15,05/27/2021 22:39:15
62,2021,2,1,1,4,0,0,1,05/27/2021 22:40:46,05/27/2021 22:40:46
63,2021,3,1,6,6,0,0,1,07/14/2021 20:51:24,07/14/2021 20:51:24
64,2021,3,4,90,62,0,0,9,07/07/2021 19:08:09,09/22/2021 23:34:35
65,2021,3,11,2390,745,18,0,50,09/02/2021 05:14:07,09/30/2021 23:54:42
66,2021,4,25,831,249,2,0,54,10/12/2021 19:46:57,11/29/2021 21:25:40
67,2021,4,1,20,20,0,0,1,10/04/2021 22:59:56,10/04/2021 22:59:56
68,2021,4,3,164,29,1,0,3,10/18/2021 17:30:42,10/28/2021 16:59:52
69,2021,4,3,116,129,0,0,3,11/17/2021 21:08:31,11/18/2021 20:27:30
70,2021,4,2,366,121,1,0,2,12/16/2021 13:14:22,12/17/2021 14:37:55
71,2022,1,1,8,0,0,0,1,01/26/2022 02:15:52,01/26/2022 02:15:52
71,2022,4,3,252,97,7,0,8,11/02/2022 23:21:53,12/19/2022 22:10:57
72,2022,1,1,27,27,0,0,27,02/05/2022 15:29:46,02/05/2022 15:29:46
73,2022,1,1,3,3,0,0,3,03/09/2022 09:21:23,03/09/2022 09:21:23
74,2022,1,1,25,26,0,0,1,03/25/2022 02:28:43,03/25/2022 02:28:43
75,2022,2,1,20,6,0,0,2,04/17/2022 15:29:49,04/17/2022 15:29:49
76,2022,2,1,2,2,0,0,1,06/03/2022 02:03:45,06/03/2022 02:03:45
77,2022,2,1,1,1,0,0,1,06/14/2022 03:08:41,06/14/2022 03:08:41
78,2022,3,2,1854,88,0,0,3,08/23/2022 21:07:57,08/25/2022 23:49:17
79,2022,3,5,104,43,1,0,15,07/26/2022 18:22:11,08/25/2022 21:41:52
79,2023,2,12,151,85,1,0,22,04/06/2023 01:01:49,04/07/2023 23:40:23
79,2023,3,10,309,48,4,0,15,09/19/2023 19:39:37,09/20/2023 03:06:01
80,2022,3,1,215,78,4,0,23,08/25/2022 20:46:09,08/25/2022 20:46:09
80,2022,4,1,362,0,1,0,2,11/10/2022 21:49:56,11/10/2022 21:49:56
81,2022,3,1,7,7,0,0,3,09/01/2022 21:28:48,09/01/2022 21:28:48
82,2022,3,1,1,0,0,0,1,09/05/2022 18:25:14,09/05/2022 18:25:14
83,2022,3,1,155,0,1,0,5,09/26/2022 22:59:40,09/26/2022 22:59:40
84,2022,3,1,1,1,0,0,1,09/29/2022 21:24:54,09/29/2022 21:24:54
84,2023,4,1,2,1,0,0,1,10/03/2023 16:38:28,10/03/2023 16:38:28
85,2022,4,1,3,3,0,0,1,11/17/2022 01:11:34,11/17/2022 01:11:34
86,2022,4,1,1,1,0,0,1,11/18/2022 18:14:30,11/18/2022 18:14:30
87,2022,4,2,4,4,0,0,2,12/19/2022 23:49:57,12/19/2022 23:51:03
87,2023,1,2,70,15,0,0,3,02/17/2023 21:46:33,03/14/2023 22:39:02
87,2023,3,1,65,4,0,0,1,09/20/2023 23:49:35,09/20/2023 23:49:35
87,2024,1,1,336,0,1,0,0,03/25/2024 23:39:55,03/25/2024 23:39:55
87,2024,2,2,59,34,0,0,4,04/30/2024 17:10:15,05/06/2024 15:57:40
88,2023,1,1,340,59,7,1,21,01/27/2023 04:33:27,01/27/2023 04:33:27
88,2023,2,24,2541,984,16,5,154,04/21/2023 03:00:56,06/21/2023 09:59:07
88,2023,3,8,219,85,0,0,67,07/13/2023 18:29:44,09/22/2023 18:10:06
88,2023,4,2,38,22,1,0,3,12/01/2023 23:24:03,12/01/2023 23:24:50
88,2024,1,2,6,7,0,0,3,01/11/2024 05:13:10,01/11/2024 05:18:59
89,2023,1,6,578,250,2,0,27,01/28/2023 02:02:00,03/21/2023 23:22:38
89,2023,2,10,703,268,3,2,30,04/03/2023 17:31:11,05/30/2023 16:43:48
89,2023,3,4,359,226,2,0,36,08/17/2023 20:52:54,09/21/2023 17:59:04
89,2023,4,9,798,728,1,7,177,10/03/2023 06:07:48,11/28/2023 22:11:57
89,2024,1,3,83,35,0,0,5,01/13/2024 17:57:41,02/29/2024 21:34:01
89,2024,2,1,73,34,0,0,6,04/29/2024 17:00:18,04/29/2024 17:00:18
90,2023,1,1,2,2,0,0,1,02/04/2023 11:39:05,02/04/2023 11:39:05
91,2023,1,1,2,2,0,0,1,02/07/2023 20:28:25,02/07/2023 20:28:25
91,2023,4,1,4,3,0,0,1,12/05/2023 00:57:00,12/05/2023 00:57:00
92,2023,1,1,1,1,0,0,1,02/16/2023 08:24:07,02/16/2023 08:24:07
93,2023,1,4,6,104,1,0,80,03/01/2023 08:26:48,03/02/2023 23:20:18
93,2023,2,1,1,1,0,0,1,04/18/2023 15:45:58,04/18/2023 15:45:58
94,2023,1,1,1,1,0,0,1,03/17/2023 12:30:46,03/17/2023 12:30:46
95,2023,1,2,2,2,0,0,2,03/22/2023 20:56:57,03/22/2023 20:59:07
96,2023,2,1,28,1,0,0,2,04/03/2023 23:50:14,04/03/2023 23:50:14
97,2023,2,2,27585,124,80,0,32,04/06/2023 00:38:19,04/06/2023 19:13:34
98,2023,2,1,1,1,0,0,1,04/08/2023 19:09:26,04/08/2023 19:09:26
98,2023,4,1,65,37,0,0,5,11/25/2023 17:39:04,11/25/2023 17:39:04
99,2023,2,12,15928,8468,100,0,176,04/17/2023 18:53:22,06/28/2023 20:44:15
99,2023,3,2,607,181,5,1,12,08/09/2023 21:09:46,08/26/2023 16:30:01
99,2023,4,1,3,172,0,4,11,10/05/2023 16:09:51,10/05/2023 16:09:51
99,2024,1,2,32,13,1,0,1,02/12/2024 18:09:36,03/16/2024 18:03:13
100,2023,2,2,59,12,2,0,3,05/26/2023 18:54:37,05/26/2023 20:04:53
101,2023,2,1,2,1,0,0,1,06/12/2023 23:42:38,06/12/2023 23:42:38
102,2023,3,3,2732,111,37,0,16,07/28/2023 02:36:54,08/31/2023 14:36:34
102,2023,4,3,235,2,1,0,11,11/10/2023 18:42:20,12/07/2023 18:32:46
102,2024,1,8,2431,370,2,0,31,01/12/2024 23:28:04,03/23/2024 02:07:26
102,2024,2,1,365,297,0,0,7,04/25/2024 21:46:22,04/25/2024 21:46:22
103,2023,4,1,5,1,0,0,1,10/19/2023 03:13:53,10/19/2023 03:13:53
104,2023,4,4,42,15,0,0,5,10/19/2023 14:20:16,10/19/2023 14:40:51
105,2023,4,1,22,22,0,0,3,12/22/2023 18:49:29,12/22/2023 18:49:29
106,2023,4,3,101,338,0,0,3,12/13/2023 13:12:23,12/15/2023 13:05:42
107,2023,4,1,3,3,0,0,2,12/21/2023 14:23:44,12/21/2023 14:23:44
108,2024,1,1,2,4,0,0,2,02/20/2024 17:31:25,02/20/2024 17:31:25
108,2024,2,1,345,129,1,0,3,04/04/2024 23:24:41,04/04/2024 23:24:41
109,2024,2,1,2,1,0,0,1,04/17/2024 18:22:16,04/17/2024 18:22:16
